id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,k
CV,food,C,Exponential,0.25092012505922123,0.9888186506421304,20.957147643452885,0.9603775720164611,0.0007510321660628152
CM,money,F,Exponential,0.2918973542982127,0.3935280582170211,23.881006612687308,0.949323046875,0.076054164222869
JL,music,C,Exponential,0.2947251230109227,0.9884659271265377,24.021293942312727,0.9318179012345681,0.0007749082948347076
RR,music,F,Exponential,0.3181011353807134,0.2616365984726366,26.061189831362856,0.9444074675324676,0.12434836915660284
SE,money,F,Exponential,0.2884093754849316,0.1292256730056197,23.16729293469167,0.9431737012987014,0.25783907463467715
KM,money,C,Exponential,0.33622479849351034,0.8872437726390734,26.98643639164856,0.9225380434782607,0.008141322270834344
YVH,food,C,Exponential,0.7725828520080087,0.13406132029214704,59.62307790064059,0.5351671874999999,0.2485032226911429
BD,food,C,Exponential,0.40835368265072247,0.0802893674727667,36.224496456960466,0.9010751811594206,0.41518491414961156
AH,money,C,Exponential,0.3670365119722879,0.7700504998390448,29.6864578049509,0.9249972993827161,0.01825059206059187
CM,money,C,Exponential,0.38148309867606867,0.44846669449645526,30.44040105575953,0.9094108796296296,0.0631485858739123
RV,music,F,Exponential,0.39950891057192967,0.5476542895776664,31.602317286690653,0.9028838734567903,0.04516454941962975
AD,money,C,Exponential,0.23828502126110862,0.9578312489423044,19.646576531852887,0.9581213474025975,0.0028931693167359627
AB,food,F,Exponential,0.4904787338828338,0.8269970875993234,38.96268788549905,0.8549926948051948,0.013091531562507856
CF,music,F,Exponential,0.291738287655889,0.37504821202526484,24.650351821667407,0.946997871517028,0.08106940806647207
LD,music,F,Exponential,0.44499516606209555,0.9627492834561102,36.13294616377553,0.8908991477272727,0.0025470345068579012
VS,money,C,Exponential,0.48557106487566887,0.6843182956687861,38.41209535619268,0.8574502314814818,0.027117137614898104
AK,money,C,Exponential,0.41128683759369583,0.5973238269246569,33.3030234495475,0.9120276702786378,0.037907614815510325
AH,music,F,Exponential,0.3748471205312762,0.7565071686375532,29.531479886942456,0.9251207561728393,0.01955628546953298
VS,music,F,Exponential,0.42878413752560685,0.3790767256869979,33.49243798815205,0.8769472656249999,0.07994214595193702
JSL,food,F,Exponential,0.3538196891025932,0.09170001542816433,28.58472194528547,0.9256201298701298,0.36351191290861923
LS,music,C,Exponential,0.4594580995975046,0.9476192845351517,35.828011617778174,0.8206815843621399,0.0036195808580278166
JL,money,F,Exponential,0.5038740908876407,0.8649962019559099,39.31183085487129,0.817517795138889,0.009914228415065958
ND,music,C,Exponential,0.3014785065641691,0.6367274324609983,25.68101426511474,0.9562056640624998,0.032755273058001695
ZZ,music,C,Exponential,0.32832974819653016,0.20549856650057347,25.94712412799489,0.9362888888888891,0.16090939105361537
GA,music,F,Exponential,0.3374659521457328,0.6488637529222548,27.048709956111306,0.9334280185758513,0.03126098285019375
DD,music,C,Exponential,0.43134012608278727,0.9698821173019707,33.70998241565992,0.8789669732441473,0.002049214178888076
JDA,food,F,Exponential,0.6286248419810723,0.19818000630402144,47.73042713371389,0.7107608024691358,0.16707929971592433
AT,food,C,Exponential,0.41938597121958654,0.40817001305735884,32.849519907830974,0.8952960937499999,0.07234408704469322
DD,food,C,Exponential,0.32168628597664883,0.4593311786714855,25.718042180228682,0.9405359375000002,0.060889649889614345
JLN,food,C,Exponential,0.37172195176587175,0.3562690286278128,29.507950033155314,0.9125290247678018,0.08659915797277998
JSL,food,C,Exponential,0.42754629929618,0.3889865889744373,33.92477772705194,0.8828933593749999,0.07725064534017899
SE,food,C,Exponential,0.6181474776386462,0.8412573673749077,48.38298943341239,0.7428945473251028,0.011876076257457558
RD,money,C,Exponential,0.5186789903994864,0.9302027479646278,41.66371248437972,0.8408068561872908,0.0048831157386865776
ER,money,C,Exponential,0.286200837768061,0.9970401285862232,22.079479642949277,0.6945511363636364,0.00019771509530729661
AT,money,C,Exponential,0.41226060734886966,0.9496371740590208,32.34359481499288,0.8844924749163879,0.0034752095030080236
AB,music,F,Exponential,0.35787642198903924,0.9957920188161797,30.401637172684936,0.8359934027777779,0.0002813218332295766
