id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,logk
JD,music,F,Hyperbolic,0.3595583433041829,0.7345709356461249,28.649179432887287,0.9159210937500002,-3.6234337169570265
CV,food,C,Hyperbolic,0.24194630256068966,0.9873994959110954,20.399201589473513,0.9632345679012347,-7.065161227536162
CM,money,F,Hyperbolic,0.3447640126751913,0.4482725531484284,27.165275305645956,0.9342902343749998,-2.2371320613543486
JL,music,C,Hyperbolic,0.300106065515695,0.9871002484197176,24.421856963898513,0.9300730452674899,-7.041285844942269
RR,music,F,Hyperbolic,0.3847163912625878,0.35347925418300996,30.318866310081802,0.9007479707792204,-1.7662404936302725
SE,money,F,Hyperbolic,0.3696023259806822,0.22821802344671127,29.08305076014342,0.9212329545454545,-1.0194711093728355
KM,money,C,Hyperbolic,0.3319971518464999,0.8567692059925782,26.706220464096315,0.928210702341137,-4.4452672561283
YVH,food,C,Hyperbolic,0.7354831394620909,0.7410548160722843,55.656594768475586,0.5619789062499999,-3.659860594439617
BD,food,C,Hyperbolic,0.4101360740432864,0.16681593316293078,36.38420234200475,0.9013149154589375,-0.5397094022806559
AH,money,C,Hyperbolic,0.46369806273784603,0.7346151545417331,35.90816645363596,0.8613352623456791,-3.623680432058768
CM,money,C,Hyperbolic,0.38615562089307554,0.4867012239119447,30.504615714962515,0.8987160493827161,-2.4178937061533663
RV,music,F,Hyperbolic,0.4247392210298393,0.5544430443754957,33.378934691594125,0.8971466049382718,-2.7318414847581933
AD,money,C,Hyperbolic,0.3843596727642453,0.9429502896650354,30.019943534828453,0.9058348214285711,-5.49356200774768
AB,food,F,Hyperbolic,0.4853636278756256,0.8254153836461304,37.96918765929368,0.8569204545454545,-4.19763717469117
CF,music,F,Hyperbolic,0.4013734877346002,0.4397507047781733,31.46775592265226,0.9085193498452012,-2.1965002442631967
LD,music,F,Hyperbolic,0.45882250258853285,0.9500067293280962,36.945353828299716,0.889507305194805,-5.635536629909616
VS,money,C,Hyperbolic,0.4853615526185808,0.6614259524743675,38.354412709689065,0.860951774691358,-3.2405478016998597
AK,money,C,Hyperbolic,0.3541875845562124,0.5893217743072823,28.75438968364124,0.9296333204334367,-2.8942308260234704
AH,music,F,Hyperbolic,0.367153100155889,0.7224343898946144,28.758246301633676,0.9118912037037035,-3.5565552609169027
VS,music,F,Hyperbolic,0.42741041415159314,0.43668184766899804,33.1322750619003,0.8651367187500002,-2.1818077835150436
JSL,food,F,Hyperbolic,0.36040716535934336,0.17252781657930252,28.71852018367598,0.9199521103896104,-0.5897000797647778
LS,music,C,Hyperbolic,0.47850809235568004,0.9340850427398323,36.98580261417904,0.8036764403292183,-5.336525927171249
JL,money,F,Hyperbolic,0.5002433733433116,0.8466831781646549,38.86621872255441,0.8168658854166667,-4.361437212243158
ND,music,C,Hyperbolic,0.37240673693094095,0.6194671803347924,29.49082162428818,0.9063820312499999,-3.036667321388132
ZZ,music,C,Hyperbolic,0.30663720013296275,0.2996891256063031,25.92027075112512,0.9563081349206349,-1.4704941042945423
GA,music,F,Hyperbolic,0.2423763234234678,0.6240617639788681,20.04532528200137,0.9700208978328171,-3.0586254996496174
DD,music,C,Hyperbolic,0.3789345581335509,0.9584742136370964,30.50491548589364,0.9130556020066887,-5.832941357497812
JDA,food,F,Hyperbolic,0.6514225224645493,0.4087225893572224,49.51823774402275,0.7054002057613169,-2.046240061390338
AT,food,C,Hyperbolic,0.4340622513742449,0.4512230546427045,33.82550437172497,0.8802968749999998,-2.251145881995458
DD,food,C,Hyperbolic,0.3458384369462605,0.48467778738092204,27.231504643090126,0.9095851562500001,-2.40845535368387
JLN,food,C,Hyperbolic,0.43022331486786414,0.4295613483042412,33.49038189692901,0.8837410990712073,-2.147585421547981
JSL,food,C,Hyperbolic,0.4397664705251094,0.5042694695743907,34.241135823624674,0.874443359375,-2.499588550107759
SE,food,C,Hyperbolic,0.6009472295203785,0.9047836760882887,46.18152503078779,0.7179207818930041,-4.926250921886964
RD,money,C,Hyperbolic,0.5060153680816377,0.9167312529852732,39.70163444785726,0.840088210702341,-5.077817064902838
ER,money,C,Hyperbolic,0.28575927515966304,0.9971069346920072,22.193762729638454,0.6950088383838383,-8.54962586124853
AT,money,C,Hyperbolic,0.44025192886920195,0.9358439812248491,34.288793455284484,0.8665029264214045,-5.366081546903525
AB,music,F,Hyperbolic,0.35784302640574206,0.9959645209021484,30.27894336175403,0.8356215277777779,-8.215288914866308
SA,food,C,Hyperbolic,0.8890945897632325,0.444489290010079,66.05026997263926,0.137593253968254,-2.219123053255901
KM,money,F,Hyperbolic,0.4003964149559773,0.8365132979198919,31.772991522243665,0.9149748376623377,-4.281109881893877
SA,music,C,Hyperbolic,0.7852556852419235,0.5479519058214162,59.750722436164075,0.5892243923611111,-2.7017775679765617
PF,money,F,Hyperbolic,0.34358286466142174,0.9079054443241947,27.526066712730238,0.9270147569444447,-4.964178017224686
CC,music,C,Hyperbolic,0.3260905989843128,0.49124410277138886,26.011720398929917,0.9550995370370371,-2.4390597890948884
SA,food,F,Hyperbolic,0.8639037524596429,0.3347309761534713,63.98148185935566,0.1726733746130031,-1.6662891567052993
LD,food,C,Hyperbolic,0.3282526219345163,0.9287965426524276,26.804041790943536,0.941495535714286,-5.251780378217997
AD,food,F,Hyperbolic,0.472263394215774,0.1168734405221213,36.265737534505,0.8372562709030099,-0.02890313725915193
SP,food,C,Hyperbolic,0.6563011713276007,0.8940768051855656,49.780188827839005,0.5502031818181818,-4.803819591911837
DN,food,C,Hyperbolic,0.23740012451657208,0.9959156999714216,19.13787276316192,0.8120233585858586,-8.20319822303416
AF,money,F,Hyperbolic,0.3331020398475366,0.010260570986099657,27.539901734617935,0.9177479423868317,3.0637763234097823
NG,money,C,Hyperbolic,0.19777942125678405,0.9820163332951157,16.624600604666508,0.9730581730769227,-6.702145098352884
DCRD,food,F,Hyperbolic,,0.001683736794039185,2.781531002806906,,5.793196407084719
SE,music,C,Hyperbolic,0.570235829251777,0.967994629076699,44.29549232417926,0.5692053571428572,-6.106530345017755
RD,food,C,Hyperbolic,0.6394604370721422,0.3880370058033736,49.1051360145695,0.7469977272727272,-1.9435705186845518
JD,food,F,Hyperbolic,0.2059169578601817,0.021576467048604747,17.686334412475144,0.9816875000000003,2.154373217083186
DCRD,money,F,Hyperbolic,0.2271682244919993,0.9859906120391626,19.410546518979306,0.9599600694444446,-6.957266535248717
GW,music,F,Hyperbolic,0.446528425395856,0.9119041853666707,35.23855416742712,0.878708767361111,-5.01442729241379
RR,food,C,Hyperbolic,0.43093697175050233,0.2881622363064362,33.633757191104564,0.888852734375,-1.4030432063375289
LG,music,C,Hyperbolic,0.35305916791777764,0.5984504963248346,27.822317966151214,0.9224748452012383,-2.9371012595273718
ZZ,food,C,Hyperbolic,0.38939282984161955,0.15006609589141118,30.993306827587332,0.8926572727272726,-0.38462827333839866
PF,music,C,Hyperbolic,0.4029504229178261,0.8783824315502493,32.05636949330613,0.9040706168831169,-4.6420469066112595
ND,music,F,Hyperbolic,0.3717760466752782,0.5053437104124086,30.562407180819537,0.9236606037151704,-2.5045717398412624
CF,money,F,Hyperbolic,0.34714936038370836,0.4238911231653736,27.685436921966897,0.9272596749226003,-2.1201930630829473
AK,food,F,Hyperbolic,0.8511773607162716,0.3161369915129473,63.21988364468946,0.299179296875,-1.5640024502257979
CV,money,C,Hyperbolic,0.12784631571225058,0.9984387535583251,10.937514754689182,0.9484687500000002,-9.16823768402264
MK,money,C,Hyperbolic,0.3206275860334005,0.9817335597621117,26.49108618720352,0.9170395454545456,-6.686159540360491
ZZ,music,F,Hyperbolic,0.45125791711433677,0.1488245641014341,35.28787006227056,0.8706521915584415,-0.3725763395517391
FD,food,C,Hyperbolic,0.35132452414134807,0.03823531414344802,28.81111250194832,0.9046059670781892,1.443381245242105
